51	51	OK
149	149	OK
171	171	OK
174	174	OK
201	201	OK
261	261	OK
318	318	OK
596	596	OK
703	703	OK
753	753	OK
806	806	OK
819	819	OK
853	853	OK
967	967	OK
990	990	OK
939	939	OK
71	71	OK
288	288	OK
313	313	OK
336	336	OK
425	425	OK
532	532	OK
578	578	OK
709	709	OK
711	711	OK
874	874	OK
912	912	OK
921	921	OK
957	957	OK
1009	1009	OK
1011	1011	OK
142	142	OK
44	44	OK
54	54	OK
109	109	OK
134	134	OK
248	248	OK
265	265	OK
290	290	OK
337	337	OK
378	378	OK
485	485	OK
549	549	OK
798	798	OK
815	815	OK
988	988	OK
999	999	OK
42	42	OK
233	233	OK
236	236	OK
266	266	OK
395	395	OK
450	450	OK
466	466	OK
471	471	OK
534	534	OK
635	635	OK
757	757	OK
864	864	OK
909	909	OK
919	919	OK
973	973	OK
1007	1007	OK
714	714	OK
18	18	OK
41	41	OK
184	184	OK
244	244	OK
253	253	OK
346	346	OK
377	377	OK
397	397	OK
446	446	OK
467	467	OK
727	727	OK
786	786	OK
793	793	OK
831	831	OK
889	889	OK
280	280	OK
23	23	OK
34	34	OK
39	39	OK
81	81	OK
88	88	OK
108	108	OK
160	160	OK
189	189	OK
378	378	OK
525	525	OK
577	577	OK
591	591	OK
639	639	OK
815	815	OK
1020	1020	OK
859	859	OK
18	18	OK
38	38	OK
184	184	OK
244	244	OK
253	253	OK
280	280	OK
346	346	OK
377	377	OK
397	397	OK
446	446	OK
467	467	OK
496	496	OK
793	793	OK
831	831	OK
889	889	OK
105	105	OK
0	145	NG
145	157	NG
157	208	NG
208	231	NG
231	231	OK
240	240	OK
247	247	OK
262	262	OK
271	271	OK
407	407	OK
627	627	OK
785	785	OK
905	905	OK
943	943	OK
953	953	OK
801	801	OK
13	13	OK
118	118	OK
198	198	OK
371	371	OK
386	386	OK
430	430	OK
506	506	OK
700	700	OK
723	723	OK
845	845	OK
876	876	OK
933	933	OK
970	970	OK
1008	1008	OK
1022	1022	OK
412	412	OK
42	42	OK
109	109	OK
117	117	OK
134	134	OK
176	176	OK
265	265	OK
276	276	OK
290	290	OK
326	326	OK
421	421	OK
434	434	OK
485	485	OK
617	617	OK
768	768	OK
913	913	OK
248	248	OK
13	13	OK
198	198	OK
204	204	OK
371	371	OK
386	386	OK
430	430	OK
506	506	OK
700	700	OK
723	723	OK
808	808	OK
845	845	OK
876	876	OK
933	933	OK
1008	1008	OK
1022	1022	OK
920	920	OK
3	15	NG
15	83	NG
83	199	NG
199	366	NG
366	444	NG
444	444	OK
454	454	OK
502	502	OK
583	583	OK
604	604	OK
649	649	OK
835	835	OK
875	875	OK
968	968	OK
997	997	OK
357	357	OK
69	69	OK
130	130	OK
246	246	OK
254	254	OK
309	309	OK
369	369	OK
384	384	OK
472	472	OK
523	523	OK
606	606	OK
728	728	OK
789	789	OK
810	810	OK
881	881	OK
882	882	OK
847	847	OK
24	24	OK
45	45	OK
148	148	OK
155	155	OK
282	282	OK
561	561	OK
613	613	OK
658	658	OK
712	712	OK
742	742	OK
804	804	OK
830	830	OK
883	883	OK
