Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099999	3.430000	7.241000	16.276000	3.019000	16.675000	25.243000	
1.000000	0.099996	2.921000	17.639000	34.090000	2.740000	25.253000	36.507000	
2.000000	0.099992	2.643000	25.482000	43.964000	2.535000	32.391000	43.436000	
3.000000	0.099985	2.502000	29.105000	48.046000	2.360000	38.021000	50.203000	
4.000000	0.099977	2.389000	34.811000	53.064000	2.298000	44.458000	53.728000	
5.000000	0.099966	2.311000	38.542000	56.545000	2.082000	52.323000	65.762000	
6.000000	0.099954	2.243000	42.588000	59.884000	2.046000	55.185000	66.207000	
7.000000	0.099940	2.180000	45.797000	62.195000	1.982000	58.282000	69.652000	
8.000000	0.099924	2.132000	48.290000	64.556000	1.916000	60.460000	71.353000	
9.000000	0.099906	2.090000	51.196000	66.450000	1.925000	59.098000	71.313000	
10.000000	0.099887	2.071000	52.433000	67.498000	1.888000	62.076000	74.392000	
11.000000	0.099865	2.033000	53.959000	68.994000	1.821000	65.147000	76.580000	
12.000000	0.099842	2.011000	55.599000	70.175000	1.846000	64.512000	75.162000	
13.000000	0.099816	1.989000	57.840000	71.091000	1.849000	63.615000	74.635000	
14.000000	0.099789	1.964000	58.988000	72.007000	1.826000	65.182000	75.162000	
15.000000	0.099760	1.945000	59.274000	72.384000	1.856000	64.582000	74.028000	
16.000000	0.099729	1.930000	60.861000	73.320000	1.737000	70.852000	79.214000	
17.000000	0.099697	1.912000	60.932000	73.605000	1.776000	69.484000	77.715000	
18.000000	0.099662	1.911000	62.293000	74.308000	1.757000	71.299000	79.741000	
19.000000	0.099625	1.897000	62.323000	74.410000	1.765000	70.746000	78.201000	
20.000000	0.099587	1.891000	62.849000	74.817000	1.756000	72.664000	80.227000	
21.000000	0.099547	1.884000	63.813000	75.336000	1.727000	69.577000	80.227000	
22.000000	0.099505	1.879000	64.168000	75.763000	1.726000	69.701000	80.389000	
23.000000	0.099461	1.867000	64.309000	76.110000	1.791000	73.598000	80.429000	
24.000000	0.099415	1.875000	64.134000	75.478000	1.680000	71.183000	82.172000	
25.000000	0.099368	1.862000	64.716000	76.120000	1.712000	71.919000	81.199000	
26.000000	0.099318	1.851000	65.409000	76.781000	1.704000	71.351000	80.673000	
27.000000	0.099267	1.857000	65.500000	76.364000	1.703000	71.393000	80.673000	
28.000000	0.099214	1.850000	65.192000	76.507000	1.666000	72.740000	82.455000	
29.000000	0.099159	1.856000	65.391000	76.425000	1.658000	74.724000	83.549000	
30.000000	0.099102	1.853000	65.226000	76.629000	1.713000	73.103000	81.361000	
31.000000	0.099043	1.832000	66.644000	77.453000	1.670000	73.713000	82.212000	
32.000000	0.098983	1.835000	66.212000	76.995000	1.651000	74.510000	83.063000	
33.000000	0.098920	1.839000	66.338000	77.229000	1.690000	71.349000	80.673000	
34.000000	0.098856	1.837000	66.893000	77.250000	1.711000	73.355000	81.888000	
35.000000	0.098790	1.835000	66.585000	77.209000	1.645000	74.674000	84.198000	
36.000000	0.098722	1.823000	66.106000	77.586000	1.682000	74.113000	81.929000	
37.000000	0.098653	1.825000	66.881000	77.718000	1.674000	73.931000	81.767000	
38.000000	0.098581	1.818000	67.376000	78.013000	1.678000	74.325000	82.739000	
39.000000	0.098508	1.817000	67.510000	77.779000	1.662000	73.841000	83.509000	
40.000000	0.098433	1.821000	67.232000	77.809000	1.678000	74.215000	83.874000	
41.000000	0.098356	1.821000	67.247000	77.748000	1.693000	71.328000	80.267000	
42.000000	0.098277	1.820000	67.253000	77.728000	1.663000	73.476000	82.455000	
43.000000	0.098196	1.812000	67.547000	78.054000	1.681000	72.521000	81.807000	
44.000000	0.098114	1.807000	66.821000	77.972000	1.637000	75.185000	83.509000	
45.000000	0.098030	1.819000	67.080000	77.718000	1.750000	71.266000	81.037000	
46.000000	0.097944	1.810000	67.693000	78.379000	1.637000	74.367000	83.428000	
47.000000	0.097856	1.812000	67.994000	78.461000	1.672000	76.433000	84.198000	
48.000000	0.097767	1.797000	68.443000	78.848000	1.655000	74.540000	83.833000	
49.000000	0.097675	1.805000	68.332000	78.227000	1.644000	77.132000	83.590000	
50.000000	0.097582	1.807000	68.241000	78.400000	1.704000	72.862000	81.199000	
51.000000	0.097487	1.798000	68.617000	78.797000	1.756000	72.505000	79.619000	
52.000000	0.097390	1.804000	69.507000	78.868000	1.675000	73.717000	80.956000	
53.000000	0.097292	1.800000	68.113000	78.502000	1.649000	75.043000	83.063000	
54.000000	0.097192	1.803000	68.292000	78.481000	1.671000	74.480000	82.861000	
55.000000	0.097090	1.798000	68.399000	78.573000	1.644000	75.341000	83.914000	
56.000000	0.096986	1.796000	68.638000	78.878000	1.632000	75.353000	84.360000	
57.000000	0.096881	1.793000	68.768000	78.746000	1.630000	77.891000	84.481000	
58.000000	0.096773	1.804000	68.462000	78.614000	1.648000	73.772000	83.752000	
59.000000	0.096664	1.789000	68.630000	79.092000	1.633000	75.485000	84.117000	
60.000000	0.096554	1.789000	69.465000	79.255000	1.649000	74.165000	83.712000	
61.000000	0.096441	1.791000	69.181000	78.878000	1.670000	75.131000	81.524000	
62.000000	0.096327	1.799000	68.342000	78.654000	1.606000	78.936000	85.454000	
63.000000	0.096211	1.774000	70.042000	79.662000	1.664000	76.033000	83.874000	
64.000000	0.096093	1.797000	69.384000	79.102000	1.645000	76.573000	83.549000	
65.000000	0.095974	1.793000	68.815000	78.766000	1.632000	76.926000	84.806000	
66.000000	0.095853	1.778000	70.250000	79.662000	1.648000	77.647000	85.089000	
67.000000	0.095730	1.774000	69.734000	79.876000	1.760000	67.594000	76.823000	
68.000000	0.095606	1.784000	69.150000	79.509000	1.670000	75.745000	83.266000	
69.000000	0.095479	1.786000	69.325000	79.082000	1.690000	74.810000	82.618000	
70.000000	0.095351	1.791000	69.347000	79.102000	1.678000	76.537000	81.605000	
71.000000	0.095222	1.783000	68.946000	79.184000	1.668000	73.928000	82.293000	
72.000000	0.095090	1.779000	70.471000	79.754000	1.646000	75.406000	83.549000	
73.000000	0.094957	1.781000	70.185000	79.672000	1.624000	77.015000	83.914000	
74.000000	0.094823	1.773000	70.683000	80.120000	1.622000	77.103000	84.887000	
75.000000	0.094686	1.780000	70.047000	79.540000	1.617000	78.488000	85.575000	
76.000000	0.094548	1.776000	69.651000	79.316000	1.699000	74.653000	83.428000	
77.000000	0.094409	1.777000	69.946000	79.550000	1.627000	75.691000	84.238000	
78.000000	0.094268	1.773000	70.345000	79.967000	1.644000	75.464000	83.549000	
79.000000	0.094125	1.775000	69.573000	79.560000	1.659000	76.757000	84.198000	
80.000000	0.093980	1.772000	70.217000	80.069000	1.642000	76.272000	83.225000	
81.000000	0.093834	1.769000	70.816000	80.079000	1.633000	75.252000	84.279000	
82.000000	0.093686	1.774000	70.685000	79.927000	1.635000	77.635000	84.279000	
83.000000	0.093536	1.770000	69.972000	79.754000	1.655000	75.331000	83.144000	
84.000000	0.093385	1.763000	70.990000	80.181000	1.678000	75.824000	81.969000	
85.000000	0.093233	1.775000	69.818000	79.438000	1.622000	76.789000	84.846000	
86.000000	0.093078	1.776000	70.883000	80.202000	1.627000	77.163000	84.360000	
87.000000	0.092922	1.764000	70.896000	80.151000	1.638000	77.588000	84.076000	
88.000000	0.092765	1.755000	71.073000	80.293000	1.614000	78.761000	84.927000	
89.000000	0.092606	1.760000	71.312000	80.344000	1.634000	75.776000	84.198000	
90.000000	0.092445	1.762000	71.352000	80.517000	1.605000	77.408000	85.049000	
91.000000	0.092283	1.765000	71.127000	80.415000	1.648000	74.620000	82.780000	
92.000000	0.092119	1.769000	70.461000	79.886000	1.598000	77.950000	84.846000	
93.000000	0.091953	1.760000	71.362000	80.548000	1.617000	80.244000	85.859000	
94.000000	0.091786	1.770000	70.493000	80.252000	1.617000	78.656000	85.170000	
95.000000	0.091618	1.759000	70.163000	80.181000	1.636000	77.391000	83.793000	
96.000000	0.091448	1.766000	70.102000	79.917000	1.626000	77.601000	84.846000	
97.000000	0.091276	1.761000	70.913000	80.140000	1.593000	77.016000	86.264000	
98.000000	0.091103	1.761000	70.530000	80.242000	1.633000	75.352000	83.630000	
99.000000	0.090928	1.761000	71.022000	80.436000	1.650000	76.155000	82.982000	
100.000000	0.090752	1.756000	71.979000	80.772000	1.623000	78.283000	85.292000	
101.000000	0.090574	1.749000	71.766000	80.904000	1.638000	77.163000	85.089000	
102.000000	0.090395	1.754000	71.652000	80.833000	1.632000	75.678000	84.643000	
103.000000	0.090215	1.750000	71.399000	80.772000	1.625000	76.816000	83.955000	
104.000000	0.090032	1.755000	71.811000	80.884000	1.616000	78.676000	85.656000	
105.000000	0.089849	1.745000	72.139000	80.996000	1.605000	79.308000	85.818000	
106.000000	0.089664	1.749000	71.785000	80.721000	1.649000	78.266000	85.656000	
107.000000	0.089477	1.750000	71.515000	80.782000	1.627000	76.499000	84.887000	
108.000000	0.089289	1.752000	71.065000	80.548000	1.621000	75.803000	83.752000	
109.000000	0.089099	1.753000	71.617000	80.700000	1.591000	78.731000	86.224000	
110.000000	0.088908	1.751000	71.108000	80.354000	1.630000	78.448000	84.643000	
111.000000	0.088716	1.750000	71.760000	80.833000	1.624000	76.928000	85.940000	
112.000000	0.088522	1.746000	72.171000	81.057000	1.567000	79.662000	86.507000	
113.000000	0.088327	1.743000	72.364000	80.812000	1.604000	76.808000	84.441000	
114.000000	0.088130	1.751000	71.533000	80.772000	1.617000	78.423000	84.968000	
115.000000	0.087932	1.739000	72.506000	81.148000	1.593000	78.908000	85.494000	
116.000000	0.087733	1.743000	71.943000	80.924000	1.596000	77.065000	85.332000	
117.000000	0.087532	1.746000	71.293000	80.558000	1.598000	77.458000	84.806000	
118.000000	0.087330	1.744000	70.901000	80.497000	1.599000	79.605000	86.021000	
119.000000	0.087126	1.742000	72.074000	80.985000	1.615000	76.905000	84.481000	
120.000000	0.086921	1.729000	73.075000	81.983000	1.652000	78.366000	83.752000	
121.000000	0.086715	1.744000	71.510000	80.537000	1.604000	80.019000	86.467000	
122.000000	0.086507	1.747000	72.028000	80.955000	1.619000	79.052000	84.846000	
123.000000	0.086298	1.741000	72.258000	81.250000	1.613000	76.658000	84.441000	
124.000000	0.086088	1.738000	72.159000	81.097000	1.584000	79.021000	86.143000	
125.000000	0.085876	1.744000	71.125000	80.456000	1.602000	77.333000	84.887000	
126.000000	0.085663	1.732000	72.883000	81.698000	1.573000	79.307000	86.588000	
127.000000	0.085449	1.736000	72.301000	81.301000	1.607000	79.853000	85.170000	
128.000000	0.085233	1.745000	71.677000	80.761000	1.587000	78.035000	85.130000	
129.000000	0.085016	1.732000	72.213000	81.494000	1.617000	77.586000	84.806000	
130.000000	0.084798	1.737000	73.041000	81.728000	1.589000	79.194000	85.859000	
131.000000	0.084578	1.739000	71.943000	80.884000	1.589000	77.741000	85.737000	
132.000000	0.084358	1.740000	71.552000	80.894000	1.565000	78.710000	87.439000	
133.000000	0.084136	1.728000	72.886000	81.555000	1.624000	78.080000	85.130000	
134.000000	0.083912	1.734000	72.873000	81.454000	1.628000	78.315000	85.170000	
135.000000	0.083688	1.728000	72.575000	81.708000	1.598000	79.549000	85.656000	
136.000000	0.083462	1.736000	72.747000	81.321000	1.602000	78.835000	84.643000	
137.000000	0.083235	1.734000	72.582000	81.301000	1.601000	77.449000	84.603000	
138.000000	0.083007	1.731000	73.015000	81.606000	1.591000	77.127000	84.887000	
139.000000	0.082778	1.724000	73.434000	82.095000	1.616000	79.296000	85.170000	
140.000000	0.082547	1.733000	73.007000	81.779000	1.596000	79.356000	86.426000	
141.000000	0.082315	1.734000	73.047000	81.545000	1.585000	79.441000	86.062000	
142.000000	0.082082	1.722000	72.863000	81.576000	1.601000	77.449000	84.806000	
143.000000	0.081848	1.725000	72.878000	81.718000	1.587000	78.605000	85.616000	
144.000000	0.081613	1.730000	72.844000	81.464000	1.584000	80.089000	86.669000	
145.000000	0.081377	1.730000	73.476000	81.606000	1.625000	77.221000	84.279000	
146.000000	0.081139	1.724000	72.894000	81.474000	1.613000	77.514000	84.522000	
147.000000	0.080900	1.726000	72.436000	81.352000	1.634000	79.640000	85.656000	
148.000000	0.080661	1.720000	73.470000	82.217000	1.617000	80.502000	85.656000	
149.000000	0.080420	1.727000	73.153000	82.024000	1.599000	79.965000	86.305000	
150.000000	0.080178	1.716000	74.028000	82.075000	1.582000	77.361000	85.535000	
151.000000	0.079935	1.726000	73.190000	81.667000	1.596000	78.919000	86.467000	
152.000000	0.079691	1.722000	73.252000	81.779000	1.571000	79.158000	86.224000	
153.000000	0.079445	1.725000	74.196000	82.064000	1.580000	79.733000	86.224000	
154.000000	0.079199	1.717000	73.748000	82.360000	1.587000	79.609000	85.737000	
155.000000	0.078952	1.730000	73.327000	81.667000	1.555000	79.023000	87.115000	
156.000000	0.078703	1.719000	73.981000	82.421000	1.596000	78.970000	85.737000	
157.000000	0.078454	1.722000	73.768000	82.085000	1.562000	79.290000	87.115000	
158.000000	0.078203	1.715000	73.428000	82.064000	1.571000	79.324000	86.386000	
159.000000	0.077952	1.718000	73.954000	82.146000	1.553000	79.816000	87.480000	
160.000000	0.077699	1.708000	74.298000	82.634000	1.573000	79.051000	86.102000	
161.000000	0.077446	1.715000	73.740000	81.901000	1.607000	76.406000	84.927000	
162.000000	0.077191	1.719000	73.971000	82.075000	1.578000	79.616000	85.859000	
163.000000	0.076936	1.713000	73.808000	82.166000	1.575000	79.862000	85.616000	
164.000000	0.076679	1.711000	74.420000	82.349000	1.548000	80.985000	87.156000	
165.000000	0.076422	1.708000	74.090000	82.390000	1.564000	80.873000	86.791000	
166.000000	0.076164	1.711000	74.182000	82.248000	1.560000	79.778000	86.548000	
167.000000	0.075905	1.708000	74.149000	82.268000	1.559000	81.626000	87.318000	
168.000000	0.075644	1.714000	74.505000	82.502000	1.568000	80.152000	85.737000	
169.000000	0.075383	1.705000	74.518000	82.868000	1.582000	79.393000	86.224000	
170.000000	0.075121	1.703000	74.494000	82.757000	1.562000	79.959000	86.507000	
171.000000	0.074858	1.714000	73.532000	82.064000	1.542000	81.881000	87.885000	
172.000000	0.074595	1.711000	74.703000	82.624000	1.576000	80.115000	86.994000	
173.000000	0.074330	1.718000	73.537000	82.105000	1.623000	79.339000	85.251000	
174.000000	0.074065	1.705000	74.912000	82.818000	1.566000	79.344000	86.467000	
175.000000	0.073798	1.708000	73.382000	82.034000	1.627000	80.107000	85.616000	
176.000000	0.073531	1.702000	74.880000	82.838000	1.553000	81.515000	87.966000	
177.000000	0.073263	1.707000	74.214000	82.451000	1.629000	78.928000	85.616000	
178.000000	0.072994	1.705000	74.490000	82.909000	1.612000	77.017000	84.076000	
179.000000	0.072725	1.698000	74.854000	82.970000	1.569000	79.948000	86.669000	
180.000000	0.072454	1.711000	74.033000	82.115000	1.567000	79.372000	86.548000	
181.000000	0.072183	1.710000	73.896000	82.380000	1.561000	80.138000	86.386000	
182.000000	0.071911	1.701000	74.378000	82.675000	1.594000	78.212000	85.211000	
183.000000	0.071638	1.697000	75.192000	83.011000	1.598000	80.235000	87.682000	
184.000000	0.071365	1.702000	75.328000	82.797000	1.590000	76.685000	85.656000	
185.000000	0.071090	1.705000	74.705000	82.716000	1.604000	78.775000	85.089000	
186.000000	0.070815	1.698000	74.004000	82.522000	1.579000	79.744000	86.183000	
187.000000	0.070540	1.697000	74.914000	82.828000	1.628000	79.583000	86.224000	
188.000000	0.070263	1.695000	74.876000	82.889000	1.566000	79.970000	86.791000	
189.000000	0.069986	1.698000	74.555000	82.685000	1.592000	79.551000	86.467000	
190.000000	0.069708	1.698000	74.531000	82.909000	1.601000	78.872000	85.170000	
191.000000	0.069430	1.702000	74.902000	82.624000	1.575000	80.420000	85.535000	
192.000000	0.069150	1.703000	73.985000	82.482000	1.620000	81.055000	86.548000	
193.000000	0.068871	1.693000	75.646000	83.265000	1.598000	79.183000	85.778000	
194.000000	0.068590	1.691000	74.697000	83.001000	1.557000	80.719000	86.994000	
195.000000	0.068309	1.689000	75.329000	83.276000	1.549000	78.967000	86.548000	
196.000000	0.068027	1.692000	75.523000	83.418000	1.579000	80.499000	85.981000	
197.000000	0.067745	1.694000	74.910000	83.062000	1.565000	81.019000	87.034000	
198.000000	0.067462	1.697000	75.193000	83.286000	1.537000	79.244000	87.399000	
199.000000	0.067178	1.688000	75.407000	83.276000	1.562000	78.931000	86.183000	
200.000000	0.066894	1.693000	74.885000	82.899000	1.611000	77.977000	84.846000	
201.000000	0.066609	1.686000	75.366000	83.276000	1.585000	79.807000	86.143000	
202.000000	0.066324	1.687000	75.759000	83.327000	1.560000	81.486000	87.520000	
203.000000	0.066038	1.682000	75.916000	83.571000	1.571000	81.745000	87.399000	
204.000000	0.065752	1.685000	75.598000	83.357000	1.572000	80.110000	86.831000	
205.000000	0.065465	1.689000	75.492000	83.388000	1.587000	78.973000	85.494000	
