Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099999	3.403000	8.546000	19.116000	3.136000	12.425000	19.652000	
1.000000	0.099995	2.929000	16.589000	34.467000	2.763000	21.928000	34.684000	
2.000000	0.099990	2.580000	27.183000	46.641000	2.380000	39.004000	50.648000	
3.000000	0.099981	2.390000	34.968000	53.817000	2.232000	43.516000	58.185000	
4.000000	0.099971	2.269000	40.225000	58.327000	2.042000	51.469000	66.288000	
5.000000	0.099958	2.182000	44.482000	62.103000	2.047000	54.116000	65.154000	
6.000000	0.099943	2.107000	49.816000	66.032000	1.997000	58.623000	69.692000	
7.000000	0.099926	2.061000	53.270000	67.997000	2.107000	54.244000	62.480000	
8.000000	0.099906	2.021000	54.719000	69.401000	1.918000	62.814000	70.746000	
9.000000	0.099884	1.996000	56.603000	70.603000	1.805000	66.194000	76.135000	
10.000000	0.099860	1.957000	59.306000	72.618000	1.842000	69.132000	75.689000	
11.000000	0.099833	1.931000	61.047000	73.992000	1.775000	69.224000	78.160000	
12.000000	0.099805	1.909000	62.644000	75.000000	1.760000	68.537000	79.295000	
13.000000	0.099773	1.891000	63.299000	75.478000	1.734000	72.437000	80.146000	
14.000000	0.099740	1.870000	65.222000	76.904000	1.751000	69.737000	79.335000	
15.000000	0.099704	1.861000	64.917000	76.832000	1.716000	73.425000	80.875000	
16.000000	0.099666	1.850000	66.025000	77.239000	1.686000	75.072000	83.468000	
17.000000	0.099625	1.845000	66.251000	77.463000	1.654000	75.874000	85.089000	
18.000000	0.099583	1.821000	68.191000	78.858000	1.728000	73.753000	80.267000	
19.000000	0.099538	1.816000	67.740000	78.451000	1.689000	75.462000	83.104000	
20.000000	0.099490	1.808000	68.733000	79.173000	1.650000	75.324000	84.562000	
21.000000	0.099441	1.797000	69.639000	79.866000	1.677000	75.030000	82.942000	
22.000000	0.099389	1.797000	68.946000	79.469000	1.656000	76.056000	84.806000	
23.000000	0.099335	1.781000	70.375000	80.436000	1.710000	72.717000	81.524000	
24.000000	0.099278	1.779000	70.845000	80.721000	1.665000	74.891000	83.144000	
25.000000	0.099220	1.781000	70.161000	80.476000	1.666000	74.644000	82.658000	
26.000000	0.099159	1.771000	70.604000	80.588000	1.644000	75.323000	84.927000	
27.000000	0.099095	1.763000	71.461000	81.393000	1.639000	77.462000	84.198000	
28.000000	0.099030	1.769000	71.531000	81.352000	1.671000	77.074000	83.549000	
29.000000	0.098962	1.748000	73.033000	82.044000	1.626000	80.502000	85.616000	
30.000000	0.098892	1.749000	72.725000	81.891000	1.609000	78.114000	86.345000	
31.000000	0.098820	1.751000	73.083000	81.993000	1.609000	80.688000	86.467000	
32.000000	0.098745	1.741000	72.747000	82.339000	1.620000	78.662000	85.737000	
33.000000	0.098668	1.736000	73.260000	82.461000	1.669000	76.605000	82.577000	
34.000000	0.098589	1.735000	73.815000	82.695000	1.623000	78.796000	86.021000	
35.000000	0.098508	1.723000	74.387000	82.980000	1.651000	73.420000	83.590000	
36.000000	0.098424	1.734000	73.570000	82.797000	1.589000	80.912000	86.710000	
37.000000	0.098338	1.731000	74.145000	82.767000	1.643000	77.099000	84.603000	
38.000000	0.098250	1.720000	74.442000	83.174000	1.620000	78.767000	84.441000	
39.000000	0.098160	1.714000	74.877000	83.388000	1.625000	78.076000	86.143000	
40.000000	0.098067	1.717000	74.762000	83.184000	1.576000	82.390000	87.561000	
41.000000	0.097973	1.713000	75.132000	83.612000	1.633000	79.049000	85.089000	
42.000000	0.097876	1.719000	74.188000	83.011000	1.586000	79.125000	86.710000	
43.000000	0.097777	1.713000	74.668000	83.622000	1.573000	82.340000	87.844000	
44.000000	0.097675	1.716000	74.881000	83.337000	1.568000	81.152000	87.844000	
45.000000	0.097572	1.717000	74.465000	83.235000	1.593000	79.284000	87.358000	
46.000000	0.097466	1.713000	74.515000	83.337000	1.590000	79.760000	87.115000	
47.000000	0.097358	1.702000	75.538000	83.764000	1.600000	78.208000	86.143000	
48.000000	0.097248	1.713000	75.008000	83.428000	1.594000	81.835000	86.831000	
49.000000	0.097135	1.708000	74.832000	83.276000	1.591000	78.528000	86.791000	
50.000000	0.097021	1.701000	75.373000	83.866000	1.590000	81.595000	87.115000	
51.000000	0.096904	1.696000	76.282000	84.100000	1.581000	81.575000	87.237000	
52.000000	0.096785	1.698000	75.967000	84.243000	1.578000	81.248000	87.237000	
53.000000	0.096664	1.701000	75.563000	83.836000	1.579000	79.312000	87.520000	
54.000000	0.096541	1.688000	76.670000	84.497000	1.575000	82.670000	87.196000	
55.000000	0.096416	1.694000	76.795000	84.456000	1.570000	82.127000	87.642000	
56.000000	0.096288	1.686000	77.040000	84.792000	1.601000	80.241000	85.697000	
57.000000	0.096159	1.695000	77.034000	84.609000	1.599000	80.616000	86.588000	
58.000000	0.096027	1.687000	76.178000	84.385000	1.572000	83.177000	88.533000	
59.000000	0.095893	1.691000	77.039000	84.609000	1.575000	79.444000	87.358000	
60.000000	0.095757	1.687000	76.806000	84.579000	1.564000	80.544000	87.318000	
61.000000	0.095619	1.683000	76.764000	84.731000	1.570000	79.746000	87.439000	
62.000000	0.095479	1.685000	76.378000	84.680000	1.588000	82.536000	87.399000	
63.000000	0.095337	1.685000	76.019000	84.385000	1.658000	81.228000	84.968000	
64.000000	0.095193	1.679000	76.582000	84.670000	1.561000	82.590000	88.047000	
65.000000	0.095046	1.687000	76.795000	84.548000	1.559000	81.847000	88.331000	
66.000000	0.094898	1.679000	76.805000	85.067000	1.551000	82.231000	88.857000	
67.000000	0.094747	1.671000	77.346000	85.037000	1.556000	82.229000	88.088000	
68.000000	0.094595	1.675000	77.932000	85.423000	1.568000	79.728000	87.115000	
69.000000	0.094440	1.679000	77.143000	84.813000	1.560000	81.645000	88.128000	
70.000000	0.094283	1.677000	77.766000	85.179000	1.562000	81.610000	88.047000	
71.000000	0.094125	1.674000	77.277000	85.118000	1.550000	81.217000	87.925000	
72.000000	0.093964	1.672000	78.144000	85.546000	1.566000	81.835000	87.885000	
73.000000	0.093801	1.668000	78.334000	85.637000	1.591000	79.674000	85.737000	
74.000000	0.093636	1.672000	76.831000	84.986000	1.576000	82.602000	87.237000	
75.000000	0.093469	1.668000	78.116000	85.403000	1.577000	81.204000	87.480000	
76.000000	0.093301	1.663000	78.176000	85.485000	1.557000	82.111000	88.574000	
77.000000	0.093130	1.667000	78.048000	85.485000	1.555000	79.377000	87.601000	
78.000000	0.092957	1.656000	78.325000	85.576000	1.567000	79.692000	87.439000	
79.000000	0.092782	1.659000	78.910000	85.892000	1.548000	82.106000	88.290000	
80.000000	0.092606	1.661000	78.804000	85.841000	1.560000	82.960000	88.736000	
81.000000	0.092427	1.671000	77.697000	84.976000	1.580000	78.999000	86.548000	
82.000000	0.092246	1.663000	77.969000	85.352000	1.554000	84.031000	88.695000	
83.000000	0.092064	1.653000	78.776000	86.014000	1.564000	82.731000	87.723000	
84.000000	0.091879	1.660000	78.723000	85.607000	1.573000	80.411000	87.682000	
85.000000	0.091693	1.658000	78.685000	85.871000	1.535000	82.787000	88.088000	
86.000000	0.091505	1.656000	79.008000	85.922000	1.563000	84.264000	88.209000	
87.000000	0.091314	1.655000	78.938000	85.759000	1.551000	82.348000	88.290000	
88.000000	0.091122	1.653000	79.276000	86.136000	1.546000	82.644000	88.695000	
89.000000	0.090928	1.650000	79.074000	86.044000	1.530000	83.122000	89.384000	
90.000000	0.090732	1.650000	79.702000	86.533000	1.549000	83.001000	88.250000	
91.000000	0.090535	1.641000	80.063000	86.787000	1.586000	81.802000	87.034000	
92.000000	0.090335	1.650000	79.581000	86.431000	1.587000	81.187000	86.912000	
93.000000	0.090134	1.651000	79.325000	86.248000	1.560000	84.347000	88.574000	
94.000000	0.089931	1.645000	80.112000	86.574000	1.555000	84.609000	88.857000	
95.000000	0.089725	1.647000	79.506000	86.289000	1.552000	81.135000	87.480000	
96.000000	0.089519	1.650000	79.236000	86.105000	1.542000	81.727000	88.574000	
97.000000	0.089310	1.649000	79.373000	86.370000	1.550000	83.093000	87.844000	
98.000000	0.089099	1.643000	79.222000	86.177000	1.543000	83.920000	88.250000	
99.000000	0.088887	1.644000	79.312000	86.197000	1.577000	82.003000	86.994000	
100.000000	0.088673	1.651000	79.374000	86.360000	1.529000	84.551000	88.898000	
101.000000	0.088457	1.638000	80.304000	86.869000	1.537000	84.640000	88.695000	
102.000000	0.088240	1.646000	79.376000	86.350000	1.568000	81.073000	86.912000	
103.000000	0.088020	1.638000	78.727000	86.065000	1.540000	84.093000	88.574000	
104.000000	0.087799	1.646000	79.032000	86.126000	1.532000	82.665000	88.574000	
105.000000	0.087577	1.638000	79.301000	86.258000	1.530000	83.683000	88.817000	
106.000000	0.087352	1.636000	79.740000	86.747000	1.529000	83.734000	88.776000	
107.000000	0.087126	1.635000	80.497000	86.808000	1.579000	81.147000	86.953000	
